Country,Color1,Color2,Color3,Color4,Color5,Color6
United Kingdom,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(1), np.uint8(33), np.uint8(105))","(np.uint8(200), np.uint8(16), np.uint8(46))",,,
Grenada,"(np.uint8(206), np.uint8(17), np.uint8(38))","(np.uint8(252), np.uint8(209), np.uint8(22))","(np.uint8(0), np.uint8(122), np.uint8(94))",,,
Georgia,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(255), np.uint8(0), np.uint8(0))",,,,
Ghana,"(np.uint8(206), np.uint8(17), np.uint8(38))","(np.uint8(252), np.uint8(209), np.uint8(22))","(np.uint8(0), np.uint8(107), np.uint8(63))",,,
Gambia,"(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(153))","(np.uint8(0), np.uint8(153), np.uint8(0))",,
Guinea,"(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(0))","(np.uint8(0), np.uint8(153), np.uint8(0))",,,
Equatorial Guinea,"(np.uint8(62), np.uint8(154), np.uint8(0))","(np.uint8(0), np.uint8(115), np.uint8(206))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(227), np.uint8(33), np.uint8(24))",,
Greece,"(np.uint8(13), np.uint8(94), np.uint8(175))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Guatemala,"(np.uint8(73), np.uint8(151), np.uint8(208))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Guinea-Bissau,"(np.uint8(206), np.uint8(17), np.uint8(38))","(np.uint8(252), np.uint8(209), np.uint8(22))","(np.uint8(0), np.uint8(158), np.uint8(73))",,,
Guyana,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(57), np.uint8(148), np.uint8(8))","(np.uint8(222), np.uint8(33), np.uint8(16))","(np.uint8(255), np.uint8(222), np.uint8(8))",,
Honduras,"(np.uint8(24), np.uint8(195), np.uint8(223))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Croatia,"(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(23), np.uint8(23), np.uint8(150))",,,
Haiti,"(np.uint8(0), np.uint8(32), np.uint8(159))","(np.uint8(210), np.uint8(16), np.uint8(52))",,,,
Hungary,"(np.uint8(212), np.uint8(53), np.uint8(22))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(56), np.uint8(141), np.uint8(0))",,,
Indonesia,"(np.uint8(231), np.uint8(0), np.uint8(17))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Ireland,"(np.uint8(0), np.uint8(154), np.uint8(73))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(255), np.uint8(121), np.uint8(0))",,,
Israel,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(56), np.uint8(184))",,,,
India,"(np.uint8(255), np.uint8(153), np.uint8(51))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(18), np.uint8(136), np.uint8(7))",,,
Iraq,"(np.uint8(206), np.uint8(17), np.uint8(38))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(1))",,,
